original_filename,new_filename,previous_public_path,original_path,new_path,category,duration_seconds,resolution,width,height,orientation,codec,codec_profile,pixel_format,audio_codec,frame_rate,size_bytes,sha256,duplicate_status,kept_original_filename,poster_path,proposed_page_placements,related_collections,conversion_status,visual_review_group
AQN6QxKvma-nGQ1XL-Vs0ftlNuiLAepG-oqWoG75gqXnGedaGaHgSMChXBce656lPLK6JbVXArzUG_eFYthwqKGkyKF_DzQtOhM.mp4,red-heritage-invitation-suite-01.mp4,public/media/video/AQN6QxKvma-nGQ1XL-Vs0ftlNuiLAepG-oqWoG75gqXnGedaGaHgSMChXBce656lPLK6JbVXArzUG_eFYthwqKGkyKF_DzQtOhM.mp4,media-source/videos-original/AQN6QxKvma-nGQ1XL-Vs0ftlNuiLAepG-oqWoG75gqXnGedaGaHgSMChXBce656lPLK6JbVXArzUG_eFYthwqKGkyKF_DzQtOhM.mp4,public/media/motion/collections/red-heritage-invitation-suite-01.mp4,collections,25.693,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,29.97,12044404,6213d6cf8d3befafb254bab0d84456e7ce717b5de11e08a6d952f617f83b7cf5,unique,AQN6QxKvma-nGQ1XL-Vs0ftlNuiLAepG-oqWoG75gqXnGedaGaHgSMChXBce656lPLK6JbVXArzUG_eFYthwqKGkyKF_DzQtOhM.mp4,public/media/motion/collections/red-heritage-invitation-suite-01-poster.jpg,collections|collection-detail|gallery,double-happiness-red-suite,convert-to-h264,
AQN8k_QRQOF1Oe0JMda_sBtPn7_YTPWis9cG_9qfhUnJ-hNXuCbzSnq7MXkrWL9yulPXFBt4UWKXjTMNA0ugDTIL8uCyHIF7_TwAJHHiK_wxBw.mp4,pink-gold-relief-folder-detail-01.mp4,public/media/video/AQN8k_QRQOF1Oe0JMda_sBtPn7_YTPWis9cG_9qfhUnJ-hNXuCbzSnq7MXkrWL9yulPXFBt4UWKXjTMNA0ugDTIL8uCyHIF7_TwAJHHiK_wxBw.mp4,media-source/videos-original/AQN8k_QRQOF1Oe0JMda_sBtPn7_YTPWis9cG_9qfhUnJ-hNXuCbzSnq7MXkrWL9yulPXFBt4UWKXjTMNA0ugDTIL8uCyHIF7_TwAJHHiK_wxBw.mp4,public/media/motion/details-and-finishes/pink-gold-relief-folder-detail-01.mp4,details-and-finishes,32.034,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,3231116,63deb01d9d9f8375e7e2b0b2ccf54e5110786a8f751fd845e09cf510fc6a9091,unique,AQN8k_QRQOF1Oe0JMda_sBtPn7_YTPWis9cG_9qfhUnJ-hNXuCbzSnq7MXkrWL9yulPXFBt4UWKXjTMNA0ugDTIL8uCyHIF7_TwAJHHiK_wxBw.mp4,public/media/motion/details-and-finishes/pink-gold-relief-folder-detail-01-poster.jpg,our-craft|gallery,blush-figurine-heritage-suite,production-ready,ornate-relief-folder-details
AQNdjsFVnnibGgNg5Qtm7s6eEaHNzXDEhA-ChfB0kMLKxpA7T1vpdb26-UXIHUd2VmuJpHsJ9RZ8XDurty8HqPKEGJ2RLyeqT9A.mp4,neutral-gold-ornate-folder-detail-01.mp4,public/media/video/AQNdjsFVnnibGgNg5Qtm7s6eEaHNzXDEhA-ChfB0kMLKxpA7T1vpdb26-UXIHUd2VmuJpHsJ9RZ8XDurty8HqPKEGJ2RLyeqT9A.mp4,media-source/videos-original/AQNdjsFVnnibGgNg5Qtm7s6eEaHNzXDEhA-ChfB0kMLKxpA7T1vpdb26-UXIHUd2VmuJpHsJ9RZ8XDurty8HqPKEGJ2RLyeqT9A.mp4,public/media/motion/details-and-finishes/neutral-gold-ornate-folder-detail-01.mp4,details-and-finishes,31.079,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,29.989,8009911,4134e69ca02be5734d2abea93c0e4c9a993405cac35b65679d12c29508438fd0,unique,AQNdjsFVnnibGgNg5Qtm7s6eEaHNzXDEhA-ChfB0kMLKxpA7T1vpdb26-UXIHUd2VmuJpHsJ9RZ8XDurty8HqPKEGJ2RLyeqT9A.mp4,public/media/motion/details-and-finishes/neutral-gold-ornate-folder-detail-01-poster.jpg,our-craft|gallery,ivory-gold-ornate-frame-suite,convert-to-h264,neutral-gold-ornate-folder-repeat
AQNGNFhfLqfWCkznffhtxJQK1Hikg2q2s_iYJ6ARv30VtsyO3Tf4KbnkcHfbOcJxk_A7Ue_wtV4qTnmd55vHzGIqaVM_B7w82Tc.mp4,green-heritage-certificate-suite-01.mp4,public/media/video/AQNGNFhfLqfWCkznffhtxJQK1Hikg2q2s_iYJ6ARv30VtsyO3Tf4KbnkcHfbOcJxk_A7Ue_wtV4qTnmd55vHzGIqaVM_B7w82Tc.mp4,media-source/videos-original/AQNGNFhfLqfWCkznffhtxJQK1Hikg2q2s_iYJ6ARv30VtsyO3Tf4KbnkcHfbOcJxk_A7Ue_wtV4qTnmd55vHzGIqaVM_B7w82Tc.mp4,public/media/motion/collections/green-heritage-certificate-suite-01.mp4,collections,30.367,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,30,9436242,eddbac9b7db997801cf6336dc59e90963b7d9b183915fe762b7d365570910865,unique,AQNGNFhfLqfWCkznffhtxJQK1Hikg2q2s_iYJ6ARv30VtsyO3Tf4KbnkcHfbOcJxk_A7Ue_wtV4qTnmd55vHzGIqaVM_B7w82Tc.mp4,public/media/motion/collections/green-heritage-certificate-suite-01-poster.jpg,collections|collection-detail|gallery,lacquer-bird-heritage-suite,convert-to-h264,
AQNIp3_RxrQ_FK904lPi2vvP3yRcUcUvSOvydnUC077S18tUICQof9sA1Iqnfwla1cEeF7xQaRwGWBn_a58SNJD3v9HH-1MnYuA.mp4,cream-launch-announcement-box-01.mp4,public/media/video/AQNIp3_RxrQ_FK904lPi2vvP3yRcUcUvSOvydnUC077S18tUICQof9sA1Iqnfwla1cEeF7xQaRwGWBn_a58SNJD3v9HH-1MnYuA.mp4,media-source/videos-original/AQNIp3_RxrQ_FK904lPi2vvP3yRcUcUvSOvydnUC077S18tUICQof9sA1Iqnfwla1cEeF7xQaRwGWBn_a58SNJD3v9HH-1MnYuA.mp4,public/media/motion/packaging-and-presentation/cream-launch-announcement-box-01.mp4,packaging-and-presentation,18.6,1080x1920,1080,1920,portrait,av1,Main,yuv420p,aac,30,1950395,f978ee13ed68f7e719035278119b3662ba1601f14cf3d4d9ebfbf5bc3c7afdae,unique,AQNIp3_RxrQ_FK904lPi2vvP3yRcUcUvSOvydnUC077S18tUICQof9sA1Iqnfwla1cEeF7xQaRwGWBn_a58SNJD3v9HH-1MnYuA.mp4,public/media/motion/packaging-and-presentation/cream-launch-announcement-box-01-poster.jpg,collection-detail|gallery,,convert-to-h264,
AQNNQQFf1ArOgqKYylWhmSO2SsTrcPOQHBTe4TdSIEfNFJKdv1eaSA_t9wCb6qlu5hdABSuGwsRTop8GU4rj8Xch4G9A_e5WZ-c.mp4,oval-monogram-box-presentation-01.mp4,public/media/video/AQNNQQFf1ArOgqKYylWhmSO2SsTrcPOQHBTe4TdSIEfNFJKdv1eaSA_t9wCb6qlu5hdABSuGwsRTop8GU4rj8Xch4G9A_e5WZ-c.mp4,media-source/videos-original/AQNNQQFf1ArOgqKYylWhmSO2SsTrcPOQHBTe4TdSIEfNFJKdv1eaSA_t9wCb6qlu5hdABSuGwsRTop8GU4rj8Xch4G9A_e5WZ-c.mp4,public/media/motion/packaging-and-presentation/oval-monogram-box-presentation-01.mp4,packaging-and-presentation,14.749,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,29.969,3866336,308513fc183e5908f7f810279901c2f9a9d4a658db38520212eebcf58d381390,unique,AQNNQQFf1ArOgqKYylWhmSO2SsTrcPOQHBTe4TdSIEfNFJKdv1eaSA_t9wCb6qlu5hdABSuGwsRTop8GU4rj8Xch4G9A_e5WZ-c.mp4,public/media/motion/packaging-and-presentation/oval-monogram-box-presentation-01-poster.jpg,collection-detail|gallery,oval-monogram-box-suite,convert-to-h264,
AQNPFo6wH_9FUS4rcpX70q3_ccotvF956qzu1DXPfQLaAmC-IP1Wi9B_Q98tueE1VsPLgTiEnNIMLjSSYUsqaSG3s0LRNQ-yBtb3ppCNLt3jcw.mp4,coordinated-gift-accessories-01.mp4,public/media/video/AQNPFo6wH_9FUS4rcpX70q3_ccotvF956qzu1DXPfQLaAmC-IP1Wi9B_Q98tueE1VsPLgTiEnNIMLjSSYUsqaSG3s0LRNQ-yBtb3ppCNLt3jcw.mp4,media-source/videos-original/AQNPFo6wH_9FUS4rcpX70q3_ccotvF956qzu1DXPfQLaAmC-IP1Wi9B_Q98tueE1VsPLgTiEnNIMLjSSYUsqaSG3s0LRNQ-yBtb3ppCNLt3jcw.mp4,public/media/motion/accessories/coordinated-gift-accessories-01.mp4,accessories,69.4,720x1280,720,1280,portrait,h264,High,yuv420p,aac,30,7550106,02536020651a84bde72f2b76977115ce830cf53cd65ec7797343fe1cd0ebb4ff,unique,AQNPFo6wH_9FUS4rcpX70q3_ccotvF956qzu1DXPfQLaAmC-IP1Wi9B_Q98tueE1VsPLgTiEnNIMLjSSYUsqaSG3s0LRNQ-yBtb3ppCNLt3jcw.mp4,public/media/motion/accessories/coordinated-gift-accessories-01-poster.jpg,home|our-craft|gallery,,production-ready,accessory-assortment-variants
AQNTtLpqkZuxJYzBHgx6anMVE02t06SQ1OVTLLAjsN9z8UooczbYztN9VdrWYMGRUCHj-jSy6uuIq_cA5BbiE4zD60Y8JlRzH0M.mp4,brown-certificate-folder-suite-01.mp4,public/media/video/AQNTtLpqkZuxJYzBHgx6anMVE02t06SQ1OVTLLAjsN9z8UooczbYztN9VdrWYMGRUCHj-jSy6uuIq_cA5BbiE4zD60Y8JlRzH0M.mp4,media-source/videos-original/AQNTtLpqkZuxJYzBHgx6anMVE02t06SQ1OVTLLAjsN9z8UooczbYztN9VdrWYMGRUCHj-jSy6uuIq_cA5BbiE4zD60Y8JlRzH0M.mp4,public/media/motion/collections/brown-certificate-folder-suite-01.mp4,collections,32.5,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,30,11458887,b487268392d2fc9cb0c45f385e0658c1a630761e8aeaee4936d226aacf9bfcd4,unique,AQNTtLpqkZuxJYzBHgx6anMVE02t06SQ1OVTLLAjsN9z8UooczbYztN9VdrWYMGRUCHj-jSy6uuIq_cA5BbiE4zD60Y8JlRzH0M.mp4,public/media/motion/collections/brown-certificate-folder-suite-01-poster.jpg,collections|collection-detail|gallery,textile-certificate-folders,convert-to-h264,
AQNVCmCo8vYEO2GBgdsDPoJezXSEOdAqmjKfEJ4rVAKVk4M8Kp62fWN4cgMbixGiU8GYDRsvuKBy4N_u6mGbV3RmhbaLwepAE-.mp4,champagne-bird-relief-folder-detail-01.mp4,public/media/video/AQNVCmCo8vYEO2GBgdsDPoJezXSEOdAqmjKfEJ4rVAKVk4M8Kp62fWN4cgMbixGiU8GYDRsvuKBy4N_u6mGbV3RmhbaLwepAE-.mp4,media-source/videos-original/AQNVCmCo8vYEO2GBgdsDPoJezXSEOdAqmjKfEJ4rVAKVk4M8Kp62fWN4cgMbixGiU8GYDRsvuKBy4N_u6mGbV3RmhbaLwepAE-.mp4,public/media/motion/details-and-finishes/champagne-bird-relief-folder-detail-01.mp4,details-and-finishes,27.967,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,30,10406585,698d5ee6fb75b9e81a49d4c3929182b7fa4f31d40730d04b2ec09a309be47afe,unique,AQNVCmCo8vYEO2GBgdsDPoJezXSEOdAqmjKfEJ4rVAKVk4M8Kp62fWN4cgMbixGiU8GYDRsvuKBy4N_u6mGbV3RmhbaLwepAE-.mp4,public/media/motion/details-and-finishes/champagne-bird-relief-folder-detail-01-poster.jpg,our-craft|gallery,champagne-sculpted-bird-suite,convert-to-h264,ornate-relief-folder-details
AQNyavEgOoF-vvMtk6le6CY0WhhmlgsZvzV-Ui49BifSzFvlVMXCwi7nStrBQ-jaVAezGD-PqfhJgVzEzJRelaUA8vIrD_2zQm8.mp4,minimal-wax-seal-invitation-suite-01.mp4,public/media/video/AQNyavEgOoF-vvMtk6le6CY0WhhmlgsZvzV-Ui49BifSzFvlVMXCwi7nStrBQ-jaVAezGD-PqfhJgVzEzJRelaUA8vIrD_2zQm8.mp4,media-source/videos-original/AQNyavEgOoF-vvMtk6le6CY0WhhmlgsZvzV-Ui49BifSzFvlVMXCwi7nStrBQ-jaVAezGD-PqfhJgVzEzJRelaUA8vIrD_2zQm8.mp4,public/media/motion/collections/minimal-wax-seal-invitation-suite-01.mp4,collections,30.534,1080x1920,1080,1920,portrait,vp9,Profile 0,yuv420p,aac,60,10113780,9164eb04064e036bb0cc3c670518b5ca5f8a8059daab3b6ff4e60ecb368b9ccf,unique,AQNyavEgOoF-vvMtk6le6CY0WhhmlgsZvzV-Ui49BifSzFvlVMXCwi7nStrBQ-jaVAezGD-PqfhJgVzEzJRelaUA8vIrD_2zQm8.mp4,public/media/motion/collections/minimal-wax-seal-invitation-suite-01-poster.jpg,home|collections|collection-detail|gallery,minimal-gold-wax-suite,convert-to-h264,
